year,province,gdp,per_gdp,fgdp,sgdp,tgdp,industry_add,architecture_add,bank_add
2000,上海,4771.17,29671.0,76.68,2207.63,2486.86,1998.96,208.67,602.95
2000,云南,2011.19,4769.0,431.8,833.25,746.14,704.0,129.25,79.04
2000,内蒙,1539.12,6502.0,350.8,582.57,605.74,484.19,98.38,39.92
2000,北京,3161.66,24122.0,79.25,1033.29,2049.12,844.01,189.28,425.19
2000,吉林,1951.51,7351.0,398.73,768.89,783.89,655.68,113.21,72.33
2000,四川,3928.2,4956.0,945.58,1433.11,1549.51,1154.46,278.65,153.05
2000,天津,1701.88,17353.0,73.69,863.83,764.36,785.96,77.87,58.44
2000,宁夏,295.02,5376.0,46.03,121.43,127.56,96.7,24.73,21.57
2000,安徽,2902.09,4779.0,741.77,1056.78,1103.54,885.1,171.68,76.54
2000,山东,8337.47,9326.0,1268.57,4164.45,2904.45,3665.74,498.71,314.25
2000,山西,1845.72,5722.0,179.86,858.37,807.49,748.65,109.72,127.74
2000,广东,10741.25,12736.0,986.32,4999.51,4755.42,4463.06,536.45,443.69
2000,广西,2080.04,4652.0,557.38,732.76,789.9,612.33,120.43,21.39
2000,新疆,1363.56,7372.0,288.18,537.58,537.8,418.63,118.95,41.94
2000,江苏,8553.69,11765.0,1048.34,4435.89,3069.46,3848.52,587.37,349.49
2000,江西,2003.07,4851.0,485.14,700.76,817.17,543.88,156.88,92.97
2000,河北,5043.96,7592.0,824.55,2514.96,1704.45,2201.73,313.23,183.77
2000,河南,5052.99,5450.0,1161.58,2294.15,1597.26,2000.04,294.11,144.81
2000,浙江,6141.03,13416.0,630.98,3273.93,2236.12,2945.7,328.23,221.73
2000,海南,526.82,6798.0,192.0,103.97,230.85,70.46,33.51,9.27
2000,湖北,3545.39,6293.0,662.3,1437.38,1445.71,1243.24,194.14,81.49
2000,湖南,3551.49,5425.0,784.92,1293.18,1473.39,1094.76,198.42,88.88
2000,甘肃,1052.88,4129.0,194.1,421.65,437.13,327.6,94.04,42.84
2000,福建,3764.54,11194.0,640.57,1628.45,1495.52,1422.34,206.11,118.85
2000,西藏,117.8,4572.0,36.39,27.05,54.37,10.17,16.88,2.48
2000,贵州,1029.92,2759.0,271.2,391.2,367.52,328.73,62.47,36.07
2000,辽宁,4669.06,11177.0,503.44,2344.4,1821.22,2114.89,229.51,127.91
2000,重庆,1791.0,5616.0,284.87,760.03,746.1,633.98,126.05,118.53
2000,陕西,1804.0,4968.0,258.22,782.58,763.2,629.88,152.7,50.27
2000,青海,263.68,5138.0,40.12,108.83,114.73,78.8,30.03,16.98
2000,黑龙,3151.4,8294.0,383.15,1731.7,1036.55,1566.4,165.3,30.9
2001,上海,5210.12,32201.0,78.0,2403.18,2728.94,2166.74,236.44,529.26
2001,云南,2138.31,5015.0,444.42,868.06,825.83,730.81,137.25,86.25
2001,内蒙,1713.81,7216.0,358.89,655.68,699.24,541.02,114.66,43.99
2001,北京,3707.96,26998.0,80.78,1142.35,2484.83,938.81,203.54,487.54
2001,吉林,2120.35,7893.0,409.1,852.51,858.74,724.73,127.78,79.5
2001,四川,4293.49,5376.0,981.67,1572.01,1739.81,1253.19,318.82,168.86
2001,天津,1919.09,19141.0,78.73,959.06,881.3,869.15,89.91,66.52
2001,宁夏,337.44,6039.0,49.67,135.89,151.89,106.82,29.06,21.37
2001,安徽,3246.71,5313.0,760.77,1254.88,1231.06,1062.0,192.88,78.83
2001,山东,9195.04,10195.0,1359.49,4556.01,3279.53,4004.09,551.92,318.34
2001,山西,2029.53,6226.0,171.09,956.01,902.43,832.45,123.56,139.24
2001,广东,12039.25,13849.0,988.84,5506.06,5544.35,4941.2,564.86,450.81
2001,广西,2279.34,5058.0,576.34,771.18,931.82,639.55,131.64,27.4
2001,新疆,1491.6,7945.0,288.12,573.91,629.57,445.6,128.31,48.53
2001,江苏,9456.84,12882.0,1094.48,4907.46,3454.9,4270.9,636.56,353.41
2001,江西,2175.68,5221.0,506.0,786.12,883.56,603.23,182.89,82.02
2001,河北,5516.76,8251.0,913.82,2696.63,1906.31,2378.04,318.59,167.29
2001,河南,5533.01,5959.0,1234.34,2510.45,1788.22,2182.78,327.67,150.78
2001,浙江,6898.34,14713.0,659.78,3572.88,2665.68,3181.94,390.94,260.36
2001,海南,579.17,7052.0,196.78,133.84,248.56,97.86,35.98,9.75
2001,湖北,3880.53,6867.0,692.17,1574.39,1613.97,1360.1,214.29,88.48
2001,湖南,3831.9,6120.0,825.73,1412.82,1593.35,1180.43,232.39,91.71
2001,甘肃,1125.37,4386.0,207.96,458.08,459.34,355.51,102.56,42.47
2001,福建,4072.85,11892.0,651.11,1803.5,1618.24,1586.48,217.02,124.84
2001,西藏,139.16,5324.0,37.54,31.97,69.65,10.88,21.09,3.26
2001,贵州,1133.27,3000.0,274.41,433.52,425.34,360.73,72.79,37.24
2001,辽宁,5033.08,12015.0,544.44,2440.55,2048.09,2190.12,250.43,131.32
2001,重庆,1976.86,6219.0,294.9,841.95,840.01,695.44,146.51,125.9
2001,陕西,2010.62,5506.0,263.63,878.82,868.17,706.62,172.2,58.16
2001,青海,300.13,5774.0,44.74,125.09,130.3,87.02,38.07,16.1
2001,黑龙,3390.1,8900.0,435.6,1773.3,1181.2,1592.0,181.3,31.3
2002,上海,5741.03,35329.0,79.68,2622.45,3038.9,2368.02,254.43,485.25
2002,云南,2312.82,5366.0,463.44,934.88,914.5,788.44,146.44,102.39
2002,内蒙,1940.94,8162.0,374.69,754.78,811.47,614.89,139.89,48.39
2002,北京,4315.0,30840.0,82.44,1249.99,2982.57,1021.16,228.83,561.91
2002,吉林,2348.54,8714.0,446.17,943.49,958.88,803.53,139.96,75.45
2002,四川,4725.01,5890.0,1047.95,1733.38,1943.68,1372.64,360.74,183.13
2002,天津,2150.76,21387.0,84.21,1069.08,997.47,968.44,100.64,76.86
2002,宁夏,377.16,6647.0,52.95,153.06,171.14,120.54,32.52,21.45
2002,安徽,3519.72,5736.0,783.66,1337.04,1399.02,1115.09,221.95,81.85
2002,山东,10275.5,11340.0,1390.0,5184.98,3700.52,4518.87,666.11,310.07
2002,山西,2324.8,7082.0,197.8,1134.31,992.69,991.44,142.87,124.1
2002,广东,13502.42,15361.0,1015.08,6143.4,6343.94,5548.41,594.99,454.65
2002,广西,2523.73,5558.0,601.99,846.89,1074.85,699.15,147.74,35.86
2002,新疆,1612.65,8457.0,305.0,603.15,704.5,463.59,139.56,52.18
2002,江苏,10606.85,14396.0,1110.44,5604.49,3891.92,4880.09,724.4,368.86
2002,江西,2450.48,5829.0,535.98,941.77,972.73,702.42,239.35,76.51
2002,河北,6018.28,8960.0,956.84,2911.69,2149.75,2580.89,330.8,179.6
2002,河南,6035.48,6487.0,1288.36,2768.75,1978.37,2412.18,356.57,158.77
2002,浙江,8003.67,16978.0,685.2,4090.48,3227.99,3640.84,449.64,347.53
2002,海南,642.73,7781.0,222.89,148.88,270.96,111.42,37.46,10.08
2002,湖北,4212.82,7437.0,707.0,1709.89,1795.93,1473.0,236.89,96.95
2002,湖南,4151.54,6734.0,847.25,1523.5,1780.79,1265.72,257.78,92.43
2002,甘肃,1232.03,4768.0,215.51,501.69,514.83,389.38,112.31,42.08
2002,福建,4467.55,12938.0,664.78,2036.97,1765.8,1808.95,228.02,138.28
2002,西藏,162.04,6117.0,39.75,32.72,89.56,11.65,21.07,2.81
2002,贵州,1243.43,3257.0,281.1,481.96,480.37,395.45,86.51,41.45
2002,辽宁,5458.22,13000.0,590.2,2609.85,2258.17,2331.95,277.9,137.18
2002,重庆,2232.86,7052.0,317.87,958.87,956.12,787.94,170.93,134.52
2002,陕西,2253.39,6145.0,282.21,1007.56,963.62,819.51,188.05,67.3
2002,青海,340.65,6478.0,47.31,144.51,148.83,97.48,47.03,16.75
2002,黑龙,3637.2,9541.0,474.2,1843.6,1319.4,1650.8,192.8,31.6
2003,上海,6694.23,39128.0,81.02,3209.02,3404.19,2941.24,267.78,517.97
2003,云南,2556.02,5871.0,494.6,1047.66,1013.76,882.08,165.58,105.48
2003,内蒙,2388.38,10039.0,420.1,967.49,1000.79,773.5,193.99,55.89
2003,北京,5007.21,34892.0,84.11,1487.15,3435.95,1224.48,262.67,635.56
2003,吉林,2662.08,9854.0,488.23,1098.37,1075.48,930.74,167.63,73.15
2003,四川,5333.09,6623.0,1128.61,2014.8,2189.68,1604.49,410.31,206.24
2003,天津,2578.03,25544.0,89.91,1337.31,1150.81,1217.88,119.43,112.79
2003,宁夏,445.36,7734.0,55.63,194.27,195.46,151.22,43.05,24.8
2003,安徽,3923.11,6375.0,749.4,1535.29,1638.42,1255.8,279.49,87.45
2003,山东,12078.15,13268.0,1480.67,6485.05,4112.43,5706.71,778.34,329.71
2003,山西,2855.23,8642.0,215.19,1463.38,1176.65,1291.94,171.44,118.48
2003,广东,15844.64,17795.0,1072.91,7592.78,7178.94,6886.97,705.81,534.28
2003,广西,2821.11,6169.0,658.78,984.08,1178.25,813.79,170.29,61.59
2003,新疆,1886.35,9828.0,412.9,719.54,753.91,563.57,155.97,64.92
2003,江苏,12442.87,16830.0,1162.45,6787.11,4493.31,6004.65,782.46,392.11
2003,江西,2807.41,6624.0,560.0,1204.33,1043.08,863.31,341.02,64.31
2003,河北,6921.29,10251.0,1064.05,3417.56,2439.68,3009.92,407.64,199.87
2003,河南,6867.7,7376.0,1198.7,3310.14,2358.86,2876.93,433.21,165.11
2003,浙江,9705.02,20444.0,717.85,5096.38,3890.79,4462.97,633.41,451.54
2003,海南,713.96,8592.0,244.29,175.82,293.85,132.26,43.56,10.68
2003,湖北,4757.45,8378.0,798.35,1956.02,2003.08,1682.16,273.86,107.31
2003,湖南,4659.99,7589.0,886.47,1777.74,1995.78,1484.98,292.76,99.35
2003,甘肃,1399.83,5429.0,237.91,572.02,589.91,448.23,123.78,42.31
2003,福建,4983.67,14333.0,692.94,2340.82,1949.91,2061.31,279.51,150.09
2003,西藏,185.09,6893.0,40.7,47.64,96.76,13.82,33.82,4.74
2003,贵州,1426.34,3701.0,298.69,569.37,558.28,473.38,95.99,48.01
2003,辽宁,6002.54,14270.0,615.8,2898.89,2487.85,2556.82,342.07,145.38
2003,重庆,2555.72,8091.0,339.06,1135.31,1081.35,933.75,201.56,147.04
2003,陕西,2587.72,7028.0,302.66,1221.17,1063.89,1006.92,214.25,77.87
2003,青海,390.2,7346.0,48.47,171.92,169.81,117.18,54.74,17.98
2003,黑龙,4057.4,10638.0,504.8,2084.7,1467.9,1874.8,209.9,32.2
2004,上海,8072.83,46338.0,83.45,3892.12,4097.26,3593.25,298.87,612.45
2004,云南,3081.91,7012.0,607.75,1281.63,1192.53,1066.41,215.22,118.4
2004,内蒙,3041.07,12767.0,522.8,1248.27,1270.0,1015.37,232.9,55.89
2004,北京,6033.21,41099.0,87.36,1853.58,4092.27,1554.73,298.85,713.79
2004,吉林,3122.01,11537.0,568.69,1329.68,1223.64,1143.95,185.73,77.17
2004,四川,6379.63,7895.0,1379.93,2489.4,2510.3,2013.8,475.6,236.5
2004,天津,3110.97,30575.0,105.28,1685.93,1319.76,1549.67,136.26,136.97
2004,宁夏,537.11,9199.0,65.33,244.05,227.73,197.55,46.5,27.92
2004,安徽,4759.3,7681.0,950.5,1844.9,1963.9,1488.9,356.0,94.1
2004,山东,15021.84,16413.0,1778.45,8478.69,4764.7,7576.12,902.57,343.37
2004,山西,3571.37,10742.0,276.3,1919.4,1375.67,1711.3,208.1,110.29
2004,广东,18864.62,20870.0,1248.59,9280.73,8335.3,8485.85,794.88,602.68
2004,广西,3433.5,7461.0,817.88,1253.7,1361.92,1044.8,208.9,74.0
2004,新疆,2209.09,11337.0,461.26,914.47,833.36,734.1,180.37,70.3
2004,江苏,15003.6,20223.0,1367.58,8437.99,5198.03,7514.39,923.6,440.5
2004,江西,3456.7,8097.0,664.5,1566.4,1225.8,1140.0,426.4,65.1
2004,河北,8477.63,12487.0,1370.43,4301.73,2805.47,3812.31,489.42,209.1
2004,河南,8553.79,9201.0,1649.29,4182.1,2722.4,3644.4,537.7,170.82
2004,浙江,11648.7,24352.0,814.1,6250.38,4584.22,5491.33,759.05,523.49
2004,海南,819.66,9812.0,278.76,205.6,335.3,151.56,54.04,11.56
2004,湖北,5633.24,9898.0,1020.09,2320.6,2292.55,1987.5,333.1,118.85
2004,湖南,5641.94,9165.0,1022.45,2190.54,2428.95,1824.11,366.43,118.64
2004,甘肃,1688.49,6566.0,286.78,713.3,688.41,574.0,139.3,42.99
2004,福建,5763.35,16469.0,786.84,2770.49,2206.02,2438.62,331.87,171.0
2004,西藏,220.34,8103.0,44.3,52.74,123.3,16.1,36.64,5.4
2004,贵州,1677.8,4317.0,334.5,681.5,661.8,577.4,104.1,60.3
2004,辽宁,6672.0,15835.0,798.43,3061.62,2811.95,2680.41,381.21,188.04
2004,重庆,3034.58,9624.0,428.05,1376.91,1229.62,1132.7,244.21,162.38
2004,陕西,3175.58,8587.0,387.88,1553.1,1234.6,1306.5,246.6,90.1
2004,青海,466.1,8693.0,60.7,211.7,193.7,153.5,58.2,19.0
2004,黑龙,4750.6,12449.0,605.79,2487.04,1657.77,2242.32,244.72,32.2
2005,上海,9247.66,51474.0,90.26,4381.2,4776.2,4036.85,344.35,675.12
2005,云南,3462.73,7835.0,661.69,1426.42,1374.62,1168.68,257.74,130.5
2005,内蒙,3905.03,16331.0,589.56,1773.21,1542.26,1477.88,295.33,72.52
2005,北京,6969.52,45444.0,88.68,2026.51,4854.33,1707.04,319.47,840.2
2005,吉林,3620.27,13348.0,625.61,1580.83,1413.83,1363.94,216.89,83.63
2005,四川,7385.1,9060.0,1481.14,3067.23,2836.73,2527.08,540.15,262.26
2005,天津,3905.64,35783.0,112.38,2135.07,1658.19,1957.95,177.12,147.4
2005,宁夏,612.61,10239.0,72.07,281.05,259.49,228.37,52.68,32.25
2005,安徽,5350.17,8670.0,966.5,2245.9,2137.77,1837.36,408.54,127.05
2005,山东,18366.87,20096.0,1963.51,10478.62,5924.74,9418.58,1060.04,448.36
2005,山西,4230.53,12495.0,262.42,2357.04,1611.07,2117.68,239.36,135.07
2005,广东,22557.37,24435.0,1428.27,11356.6,9772.5,10489.73,866.87,661.81
2005,广西,3984.1,8788.0,912.5,1510.68,1560.92,1264.84,245.84,91.93
2005,新疆,2604.19,13108.0,509.99,1164.79,929.41,961.61,203.18,80.34
2005,江苏,18598.69,24560.0,1461.51,10524.96,6612.22,9440.18,1084.78,492.4
2005,江西,4056.76,9440.0,727.37,1917.47,1411.92,1455.5,461.97,69.55
2005,河北,10012.11,14782.0,1400.0,5271.57,3340.54,4704.28,567.29,213.47
2005,河南,10587.42,11346.0,1892.01,5514.14,3181.27,4896.01,618.13,181.74
2005,浙江,13417.68,27703.0,892.83,7164.75,5360.1,6344.71,820.04,686.32
2005,海南,918.75,10871.0,300.75,240.83,377.17,176.92,63.91,13.16
2005,湖北,6590.19,11431.0,1082.13,2852.12,2655.94,2478.66,373.46,127.32
2005,湖南,6596.1,10426.0,1100.65,2612.57,2882.88,2195.33,417.24,162.37
2005,甘肃,1933.98,7477.0,308.06,838.56,787.36,685.8,152.76,44.73
2005,福建,6554.69,18646.0,827.36,3175.92,2551.41,2801.88,374.05,186.12
2005,西藏,248.8,9114.0,48.04,63.52,137.24,17.48,46.04,7.57
2005,贵州,2005.42,5052.0,368.94,821.16,815.32,707.35,113.81,73.67
2005,辽宁,8047.26,18983.0,882.41,3869.4,3295.45,3401.8,467.6,232.85
2005,重庆,3467.72,10982.0,463.4,1564.0,1440.32,1293.81,270.19,185.18
2005,陕西,3933.72,9899.0,435.77,1951.36,1546.59,1650.63,300.73,127.58
2005,青海,543.32,10045.0,65.34,264.61,213.37,203.94,60.67,20.36
2005,黑龙,5513.7,14434.0,684.6,2971.68,1857.42,2696.3,275.38,35.03
2006,上海,10572.24,57310.0,93.81,4969.95,5508.48,4575.3,394.65,825.2
2006,云南,3988.14,8961.0,724.4,1705.83,1557.91,1401.57,304.26,143.62
2006,内蒙,4944.25,20047.0,634.94,2374.96,1934.35,2025.72,349.24,108.21
2006,北京,8117.78,49505.0,88.8,2191.43,5837.55,1821.86,369.57,982.37
2006,吉林,4275.12,15625.0,672.76,1915.29,1687.07,1659.29,256.0,100.75
2006,四川,8690.24,10546.0,1595.48,3775.14,3319.62,3144.67,630.47,299.5
2006,天津,4462.74,40961.0,103.35,2457.08,1902.31,2261.52,195.56,186.87
2006,宁夏,725.9,11784.0,79.54,351.58,294.78,287.55,64.03,36.99
2006,安徽,6112.5,10044.0,1011.03,2711.18,2390.29,2240.37,470.81,166.01
2006,山东,21900.19,23546.0,2138.9,12574.03,7187.26,11378.82,1195.21,524.94
2006,山西,4878.61,14106.0,276.77,2755.66,1846.18,2485.06,270.6,169.63
2006,广东,26587.76,28077.0,1532.17,13469.77,11585.82,12518.59,951.18,899.91
2006,广西,4746.16,10240.0,1032.47,1878.56,1835.12,1592.33,286.23,129.14
2006,新疆,3045.26,14871.0,527.8,1459.3,1058.16,1241.33,217.97,99.25
2006,江苏,21742.05,28685.0,1545.05,12282.89,7914.11,11097.64,1185.25,653.25
2006,江西,4820.53,10679.0,786.14,2419.74,1614.65,1905.15,514.59,79.75
2006,河北,11467.6,16894.0,1461.81,6110.43,3895.36,5485.96,624.47,284.04
2006,河南,12362.79,13279.0,1916.74,6724.61,3721.44,6031.21,693.4,219.72
2006,浙江,15718.47,31684.0,925.1,8511.51,6281.86,7585.47,926.04,906.37
2006,海南,1065.67,12650.0,323.48,308.62,433.57,238.31,70.31,16.37
2006,湖北,7617.47,13150.0,1140.41,3365.08,3111.98,2929.19,435.89,174.99
2006,湖南,7688.67,11830.0,1272.2,3187.05,3229.42,2707.61,479.44,204.72
2006,甘肃,2277.35,8749.0,334.0,1043.19,900.16,868.13,175.06,50.51
2006,福建,7583.85,21152.0,865.98,3695.04,3022.83,3230.49,464.56,243.9
2006,西藏,290.76,10396.0,50.9,80.1,159.76,21.71,58.39,6.44
2006,贵州,2338.98,5750.0,382.06,967.54,989.38,839.13,128.41,89.43
2006,辽宁,9304.52,21802.0,939.43,4566.83,3798.26,4017.02,549.81,303.41
2006,重庆,3907.23,12437.0,386.38,1871.65,1649.2,1566.83,304.82,213.7
2006,陕西,4743.61,11762.0,484.81,2452.44,1806.36,2094.02,358.42,152.25
2006,青海,648.5,11753.0,67.55,331.91,249.04,265.12,66.79,23.69
2006,黑龙,6211.8,16268.0,750.14,3365.31,2096.35,3049.04,316.27,74.17
2007,上海,12494.01,62041.0,101.84,5571.06,6821.11,5154.42,416.64,1209.08
2007,云南,4772.52,10609.0,837.35,2038.39,1896.78,1696.29,342.1,168.55
2007,内蒙,6423.18,26521.0,762.1,3193.67,2467.41,2781.78,411.89,148.3
2007,北京,9846.81,60096.0,101.26,2509.4,7236.15,2082.76,426.64,1302.77
2007,吉林,5284.69,19383.0,783.8,2475.45,2025.44,2170.74,304.71,126.03
2007,四川,10562.39,12963.0,2032.0,4648.79,3881.6,3921.41,727.38,359.11
2007,天津,5252.76,47970.0,110.19,2892.53,2250.04,2661.87,230.66,288.17
2007,宁夏,919.11,15142.0,97.89,455.04,366.18,376.71,78.33,51.05
2007,安徽,7360.92,12039.0,1200.18,3370.96,2789.78,2810.0,560.96,223.85
2007,山东,25776.91,27604.0,2509.14,14647.53,8620.24,13283.72,1363.81,734.9
2007,山西,6024.45,17805.0,311.97,3454.49,2257.99,3141.89,312.6,218.73
2007,广东,31777.01,33272.0,1695.57,16004.61,14076.83,14942.91,1061.7,1705.08
2007,广西,5823.41,12277.0,1241.35,2425.29,2156.76,2090.1,335.19,190.73
2007,新疆,3523.16,16999.0,628.72,1647.55,1246.89,1405.11,242.44,149.22
2007,江苏,26018.48,33837.0,1816.31,14471.26,9730.91,13105.24,1366.02,1054.25
2007,江西,5800.25,13322.0,905.77,2975.53,1918.95,2412.3,563.23,101.34
2007,河北,13607.32,19662.0,1804.72,7201.88,4600.72,6515.32,686.56,347.65
2007,河南,15012.46,16012.0,2217.66,8282.83,4511.97,7508.33,774.5,302.31
2007,浙江,18753.73,36676.0,986.02,10154.25,7613.46,9090.74,1063.51,1251.43
2007,海南,1254.17,14923.0,361.07,364.26,528.84,278.37,85.89,34.43
2007,湖北,9333.4,16386.0,1378.0,4143.06,3812.34,3588.0,555.06,337.27
2007,湖南,9439.6,14869.0,1626.48,3977.72,3835.4,3397.69,580.03,260.14
2007,甘肃,2703.98,10614.0,387.55,1279.32,1037.11,1063.84,215.48,61.6
2007,福建,9248.53,25582.0,1002.11,4476.42,3770.0,3896.76,579.66,385.84
2007,西藏,341.43,12083.0,54.89,98.48,188.06,27.62,70.86,11.51
2007,贵州,2884.11,7878.0,446.38,1124.79,1312.94,978.86,145.93,122.25
2007,辽宁,11164.3,26057.0,1133.42,5544.14,4486.74,4892.45,651.69,386.34
2007,重庆,4676.13,16629.0,482.39,2368.53,1825.21,2004.51,364.02,247.46
2007,陕西,5757.29,15546.0,592.63,2986.46,2178.2,2544.42,442.04,231.03
2007,青海,797.35,14507.0,83.41,419.03,294.91,344.52,74.51,27.67
2007,黑龙,7104.0,18580.0,915.38,3695.58,2493.04,3326.9,368.68,155.48
2008,上海,14069.86,66932.0,111.8,6085.84,7872.23,5576.79,509.05,1414.21
2008,云南,5692.12,12570.0,1020.56,2452.75,2218.81,2051.73,401.02,277.66
2008,内蒙,8496.2,34869.0,907.95,4376.19,3212.06,3879.42,496.77,219.09
2008,北京,11115.0,64491.0,112.83,2626.41,8375.76,2131.75,494.66,1519.19
2008,吉林,6426.1,23521.0,916.72,3097.12,2412.26,2688.37,408.75,147.24
2008,四川,12601.23,15495.0,2216.15,5823.39,4561.69,4956.13,867.26,411.14
2008,天津,6719.01,58656.0,122.58,3709.78,2886.65,3418.87,290.91,368.1
2008,宁夏,1203.92,19609.0,118.94,609.98,475.0,506.98,103.0,64.8
2008,安徽,8851.66,14448.0,1418.09,4198.93,3234.64,3505.67,693.26,313.81
2008,山东,30933.28,32936.0,3002.65,17571.98,10358.64,15894.95,1677.03,880.28
2008,山西,7315.4,21506.0,313.58,4242.36,2759.46,3868.54,373.82,290.91
2008,广东,36796.71,37638.0,1973.05,18502.2,16321.46,17304.79,1197.41,1972.4
2008,广西,7021.0,14652.0,1453.75,3037.74,2529.51,2627.39,410.35,249.01
2008,新疆,4183.21,19797.0,691.07,2070.76,1421.38,1755.35,315.41,171.97
2008,江苏,30981.98,40014.0,2100.11,16993.34,11888.53,15271.2,1722.14,1298.48
2008,江西,6971.05,15900.0,1060.38,3554.81,2355.86,2906.86,647.95,130.57
2008,河北,16011.97,22986.0,2034.59,8701.34,5276.04,7891.54,809.8,420.74
2008,河南,18018.53,19181.0,2658.78,10259.99,5099.76,9328.15,931.84,413.83
2008,浙江,21462.69,41405.0,1095.96,11567.42,8799.31,10328.72,1238.7,1653.45
2008,海南,1503.06,17691.0,436.04,423.55,643.47,308.89,114.66,47.33
2008,湖北,11328.92,19858.0,1780.0,5082.07,4466.85,4391.23,690.84,393.05
2008,湖南,11555.0,18147.0,1892.4,5028.93,4633.67,4310.12,718.81,334.32
2008,甘肃,3166.82,12421.0,462.27,1470.34,1234.21,1188.78,281.56,72.49
2008,福建,10823.01,29755.0,1158.17,5318.44,4346.4,4593.24,725.2,497.65
2008,西藏,394.85,13588.0,60.62,115.56,218.67,29.48,86.08,22.42
2008,贵州,3561.56,9855.0,539.19,1370.03,1652.34,1195.3,174.73,151.55
2008,辽宁,13668.58,31739.0,1302.02,7158.84,5207.72,6359.43,799.41,455.07
2008,重庆,5793.66,20490.0,575.4,3057.78,2160.48,2607.15,450.63,303.01
2008,陕西,7314.58,19700.0,753.72,3861.12,2699.74,3274.57,586.55,287.16
2008,青海,1018.62,18421.0,105.57,557.12,355.93,468.6,88.52,36.54
2008,黑龙,8314.37,21740.0,1088.94,4319.75,2905.68,3866.43,453.32,177.43
2009,上海,15046.45,69165.0,113.82,6001.78,8930.85,5408.75,593.03,1804.28
2009,云南,6169.75,13539.0,1067.6,2582.53,2519.62,2088.17,494.36,351.74
2009,内蒙,9740.25,39735.0,929.6,5114.0,3696.65,4503.33,610.67,291.1
2009,北京,12153.03,66940.0,118.29,2855.55,9179.19,2303.08,552.47,1603.63
2009,吉林,7278.75,26595.0,980.57,3541.92,2756.26,3054.6,487.32,180.83
2009,四川,14151.28,17339.0,2240.61,6711.87,5198.8,5678.24,1033.63,524.63
2009,天津,7521.85,62574.0,128.85,3987.84,3405.16,3622.11,365.73,461.2
2009,宁夏,1353.31,21777.0,127.25,662.32,563.74,520.38,141.94,75.54
2009,安徽,10062.82,16408.0,1495.45,4905.22,3662.15,4064.72,840.5,359.6
2009,山东,33896.65,35894.0,3226.64,18901.83,11768.18,16896.14,2005.69,1044.9
2009,山西,7358.31,21522.0,477.59,3993.8,2886.92,3518.88,474.92,361.64
2009,广东,39482.56,39436.0,2010.27,19419.7,18052.59,18091.56,1328.14,2283.29
2009,广西,7759.16,16045.0,1458.49,3381.54,2919.13,2863.84,517.7,336.82
2009,新疆,4277.05,19942.0,759.74,1929.59,1587.72,1555.84,373.75,198.87
2009,江苏,34457.3,44253.0,2261.86,18566.37,13629.07,16464.94,2101.43,1596.98
2009,江西,7655.18,17335.0,1098.66,3919.45,2637.07,3196.56,722.89,165.1
2009,河北,17235.48,24581.0,2207.34,8959.83,6068.31,7983.86,975.97,525.67
2009,河南,19480.46,20597.0,2769.05,11010.5,5700.91,9900.27,1110.23,499.92
2009,浙江,22990.35,43842.0,1163.08,11908.49,9918.78,10518.21,1390.28,1899.33
2009,海南,1654.21,19254.0,462.19,443.43,748.59,300.63,142.8,65.73
2009,湖北,12961.1,22677.0,1795.9,6038.08,5127.12,5183.68,854.4,479.11
2009,湖南,13059.69,20428.0,1969.69,5687.19,5402.81,4819.4,867.79,402.57
2009,甘肃,3387.56,13269.0,497.05,1527.24,1363.27,1203.7,323.54,88.27
2009,福建,12236.53,33437.0,1182.74,6005.3,5048.49,5106.38,898.92,612.2
